Kode Satker;Nama Satker;Kode SKPD;Pegawai Aktif
1;SEKRETARIAT DAERAH (OPD);N00;4
5;ASISTEN PEMERINTAHAN DAN KESEJAHTERAAN RAKYAT (OPD);N00;9
6;ASISTEN ADMINISTRASI PEMBANGUNAN DAN UMUM (OPD);N00;12
1;DINAS PERPUSTAKAAN DAN KEARSIPAN (OPD);N04;3
43;SMP N 8 PARIAMAN                                          ;43;122
D20401000100001     ;DINAS PENDIDIKAN, PEMUDA DAN OLAHRAGA;1;63
D20401000200001     ;DINAS KESEHATAN;2;34
D20401000300001     ;DINAS PEKERJAAN UMUM;3;3
D20401000400001     ;BADAN PERENCANAAN PEMBANGUNAN DAERAH                                       ;4;4
D20401000500001     ;DINAS PERHUBUNGAN, KOMUNIKASI DAN INFORMATIKA;5;4
D20401000600001     ;BADAN LINGKUNGAN HIDUP                                                   ;6;7
D20401000700001     ;DINAS KEPENDUDUKAN DAN CATATAN SIPIL                                       ;7;1
D20401000800001     ;BADAN PEMBERDAYAAN PEREMPUAN DAN KELUARGA BERENCANA;8;6
D20401000900001     ;DINAS SOSIAL DAN TENAGA KERJA                                              ;9;2
D20401001100001     ;DINAS KEBUDAYAAN DAN PARIWISATA;11;1
D20401001200001     ;KANTOR KESBANGPOL (OPD);12;9
D20401001300001     ;SATUAN POLISI PAMONG PRAJA                                                 ;13;3
D20401001400001     ;BADAN PENANGGULANGAN BENCANA DAERAH (OPD)                                  ;14;17
D20401001600001     ;ASISTEN TATA PRAJA (SETDA);16;19
D20401001600002;ASISTEN ADMINISTRASI DAN PEMBANGUNAN (SETDA);16;1
D20401001600003;SEKRETARIAT DAERAH;16;1
D20401001700001     ;SEKRETARIAT DPRD;17;1
D20401001800001     ;DINAS PENDAPATAN, DAN PENGELOLAAN KEUANGAN DAN ASET                ;18;4
D20401001900001     ;INSPEKTORAT                                                                ;19;4
D20401002000001     ;BADAN KEPEGAWAIAN DAERAH;20;6
D20401002100001     ;KECAMATAN PARIAMAN UTARA;21;2
D20401002200001     ;KECAMATAN PARIAMAN TENGAH                        ;22;9
D20401002500001     ;KANTOR PELAYANAN TERPADU DAN PENANAMAN MODAL                               ;25;2
D20401002600001     ;;26;2
D20401002700001     ;DINAS PERTANIAN;27;13
D20401002800001     ;DINAS KELAUTAN DAN PERIKANAN;28;7
D20401002900001     ;SUB BAGIAN TU UPT DIKPORA KEC. PARIAMAN UTARA (OPD)                        ;29;3
D20401003000001     ;SUB BAGIAN TU UPT DIKPORA KEC. PARIAMAN TENGAH                             ;30;4
D20401003100001     ;SUB BAGIAN TU UPT DIKPORA KEC. PARIAMAN SELATAN             ;31;2
D20401003300001     ;SMP NEGERI NO 1 KOTA PARIAMAN                     ;1;2
D20401003300002     ;SMP NEGERI NO 2 KOTA PARIAMAN                     ;33;9
D20401003300003     ;SMP NEGERI NO 3 KOTA PARIAMAN                     ;33;4
D20401003300004     ;SMP NEGERI NO 4 KOTA PARIAMAN                     ;33;5
D20401003300005     ;SMP NEGERI NO 5 KOTA PARIAMAN                                              ;33;3
D20401003300006     ;SMP NEGERI NO 6 KOTA PARIAMAN                     ;33;1
D20401003300007     ;SMP NEGERI NO 7 KOTA PARIAMAN                     ;33;2
D20401003300008     ;SMP NEGERI NO 8 KOTA PARIAMAN                                              ;33;1
D20401003300009     ;SMP NEGERI NO 9 KOTA PARIAMAN                                              ;33;4
D20401003400001 ;SUB BAGIAN TU UPT SANGGAR KEGIATAN BELAJAR (SKB) (OPD);34;6
D20401003900001;SUB BAGIAN TU UPT SATUAN PENDIDIKAN NON FORMAL;39;1
D20401003900001;SUB BAGIAN TU UPT SATUAN PENDIDIKAN NON FORMAL;1;1
D20401004100001;SMP NEGERI NO 4 KOTA PARIAMAN;1;1
D20401004200001     ;SMP NEGERI NO 7 KOTA PARIAMAN                                              ;42;6
D20401004200001;SMP NEGERI NO 7 KOTA PARIAMAN;1;6
D20401004300001;SMP NEGERI NO 8 KOTA PARIAMAN;1;4
D20401004300001     ;SMP NEGERI NO 8 KOTA PARIAMAN                                              ;43;4
D20401004500001;SMA NEGERI NO 1 PARIAMAN;1;65
D20401004600001;SMA NEGERI NO 2 PARIAMAN;1;3
D20401004800001;SMA NEGERI NO 4 PARIAMAN;1;51
D20401004900001;SMA NEGERI NO 5 PARIAMAN;1;38
D20401005000001;SMA NEGERI NO 6 PARIAMAN;1;22
D20401005100001;SMK NEGERI NO 1 PARIAMAN;1;112
D20401005200001;SMK NEGERI NO 2 PARIAMAN;1;90
D20401005300001;SMK NEGERI NO 3 PARIAMAN;1;74
D20401005400001;SMK NEGERI NO 4 PARIAMAN;1;50
N003;DINAS PEKERJAAN UMUM, PENATAAN RUANG DAN PERTANAHAN (OPD);N03;15
N011;ASISTEN ADMINISTRASI PEMERINTAHAN UMUM (OPD);N01;8
N012;ASISTEN PEREKONOMIAN (OPD);N01;4
N018;BADAN PENGELOLAAN KEUANGAN DAN PENDAPATAN DAERAH (OPD);N18;3
N020;DINAS PERTANIAN, PANGAN DAN PERIKANAN (OPD);N20;15
N099;DINAS PERUMAHAN RAKYAT, KAWASAN PERMUKIMAN DAN LINGKUNGAN HIDUP (OPD);N99;17
N22;BADAN PENGELOLAAN KEUANGAN DAN PENDAPATAN DAERAH (OPD);N22;6
NO02;SEKRETARIAT DEWAN PERWAKILAN RAKYAT DAERAH (OPD);N02;9
O1;DINAS PENDIDIKAN PEMUDA DAN OLAHRAGA (OPD);O1;418
O11;DINAS PARIWISATA DAN KEBUDAYAAN (OPD);O11;16
O12;DINAS PEMBERDAYAAN MASYARAKAT DAN DESA (OPD);O12;15
O15;BADAN KEPEGAWAIAN DAN PENGEMBANGAN SUMBER DAYA MANUSIA (OPD);O15;19
O18;BADAN KEUANGAN DAERAH;O18;3
O2;DINAS KESEHATAN (OPD);O2;81
O21;KECAMATAN PARIAMAN UTARA (OPD);O21;8
O22;KECAMATAN PARIAMAN TENGAH (OPD);O25;49
O23;KECAMATAN PARIAMAN SELATAN (OPD);O23;12
O24;KECAMATAN PARIAMAN TIMUR (OPD);O24;13
O27;DINAS PENANAMAN MODAL, PTSP DAN TENAGA KERJA (OPD);O27;11
O28;DINAS PERIKANAN DAN BUDIDAYA;O28;7
O29;DINAS KOMUNIKASI DAN INFORMATIKA (OPD);O29;6
