Kode Satker,Nama Satker,Kode SKPD,Pegawai Aktif,Pegawai Total,Pegawai Non-Aktif
001,"SEKRETARIAT DAERAH (OPD)",N00,3,7,4
005,"ASISTEN PEMERINTAHAN DAN KESEJAHTERAAN RAKYAT (OPD)",N00,32,41,9
006,"ASISTEN ADMINISTRASI PEMBANGUNAN DAN UMUM (OPD)",N00,67,79,12
01,"DINAS PERPUSTAKAAN DAN KEARSIPAN (OPD)",N04,20,23,3
D20401001200001     ,"KANTOR KESBANGPOL (OPD)",012,18,27,9
D20401001400001     ,"BADAN PENANGGULANGAN BENCANA DAERAH (OPD)                                  ",014,64,81,17
N003,"DINAS PEKERJAAN UMUM, PENATAAN RUANG DAN PERTANAHAN (OPD)",N03,80,95,15
N020,"DINAS PERTANIAN, PANGAN DAN PERIKANAN (OPD)",N20,134,149,15
N099,"DINAS PERUMAHAN RAKYAT, KAWASAN PERMUKIMAN DAN LINGKUNGAN HIDUP (OPD)",N99,112,129,17
N22,"BADAN PENGELOLAAN KEUANGAN DAN PENDAPATAN DAERAH (OPD)",N22,66,72,6
NO02,"SEKRETARIAT DEWAN PERWAKILAN RAKYAT DAERAH (OPD)",N02,34,43,9
O1,"DINAS PENDIDIKAN PEMUDA DAN OLAHRAGA (OPD)",O1,1211,1629,418
O11,"DINAS PARIWISATA DAN KEBUDAYAAN (OPD)",O11,56,72,16
O12,"DINAS PEMBERDAYAAN MASYARAKAT DAN DESA (OPD)",O12,25,40,15
O15,"BADAN KEPEGAWAIAN DAN PENGEMBANGAN SUMBER DAYA MANUSIA (OPD)",O15,33,52,19
O2,"DINAS KESEHATAN (OPD)",O2,630,711,81
O21,"KECAMATAN PARIAMAN UTARA (OPD)",O21,24,32,8
O22,"KECAMATAN PARIAMAN TENGAH (OPD)",O25,120,169,49
O23,"KECAMATAN PARIAMAN SELATAN (OPD)",O23,23,35,12
O24,"KECAMATAN PARIAMAN TIMUR (OPD)",O24,23,36,13
O27,"DINAS PENANAMAN MODAL, PTSP DAN TENAGA KERJA (OPD)",O27,44,55,11
O29,"DINAS KOMUNIKASI DAN INFORMATIKA (OPD)",O29,46,52,6
O5,"DINAS PERHUBUNGAN (OPD)",O5,83,107,24
O9,"DINAS SOSIAL (OPD)",O9,25,42,17
OPD004,"INSPEKTORAT (OPD)",O04,66,92,26
OPD005,"BADAN PERENCANAAN, PENELITIAN DAN PENGEMBANGAN DAERAH (OPD)",O05,34,47,13
OPD007,"DINAS KEPENDUDUKAN DAN PENCATATAN SIPIL (OPD)",O07,31,42,11
OPD012,"DINAS PERINDUSTRIAN, PERDAGANGAN, KOPERASI DAN UKM (OPD)",O01,60,71,11
OPD022,"DINAS PEMBERDAYAAN PEREMPUAN, PERLINDUNGAN ANAK DAN KB (OPD)",O22,44,68,24
OPD038,"SATUAN POLISI PAMONG PRAJA DAN PEMADAM KEBAKARAN  (OPD)",O38,233,255,22
